model,train_seed,eval_episodes,eval_mean_score,eval_std_score,eval_best_score
random,1,100,0.13,0.4161,2
random,2,100,0.13,0.4161,2
random,3,100,0.13,0.4161,2
greedy,1,100,19.1,5.7905,33
greedy,2,100,19.1,5.7905,33
greedy,3,100,19.1,5.7905,33
q_learning,1,100,16.1,4.6379,23
q_learning,2,100,16.28,4.3842,21
q_learning,3,100,16.17,3.829,22
dqn,1,100,17.52,5.854,35
dqn,2,100,16.99,5.2924,33
dqn,3,100,18.56,6.5028,38
double_dqn,1,100,18.64,6.0787,37
double_dqn,2,100,18.25,5.7033,36
double_dqn,3,100,17.49,5.8745,32
dueling_dqn,1,100,19.56,7.1237,41
dueling_dqn,2,100,20.17,5.5499,33
dueling_dqn,3,100,19.55,5.9689,38
lightweight_snake_ddqn,1,100,17.56,5.3185,31
lightweight_snake_ddqn,2,100,19.72,6.3515,32
lightweight_snake_ddqn,3,100,19.27,5.4422,35
