episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,double_dqn,1,0.0002,1.0,18563,cpu,1,21,0.11,0.99601,0.0
2,double_dqn,1,0.0005,1.0,18563,cpu,1,34,0.08,0.98955,0.0
3,double_dqn,1,0.0007,0.6667,18563,cpu,0,14,-10.63,0.98689,0.0
4,double_dqn,1,0.0008,0.5,18563,cpu,0,12,-10.81,0.98461,0.0
5,double_dqn,1,0.001,0.4,18563,cpu,0,17,-10.76,0.98138,0.0
6,double_dqn,1,0.0038,0.3333,18563,cpu,0,9,-10.88,0.97967,0.884118
7,double_dqn,1,0.0169,0.2857,18563,cpu,0,39,-10.38,0.97226,0.007137
8,double_dqn,1,0.0218,0.25,18563,cpu,0,15,-9.94,0.96941,1.09536
9,double_dqn,1,0.0341,0.2222,18563,cpu,0,36,-10.45,0.96257,0.268538
10,double_dqn,1,0.0394,0.4,18563,cpu,2,16,10.57,0.95953,0.491481
11,double_dqn,1,0.0501,0.4545,18563,cpu,1,33,-0.81,0.95326,0.523956
12,double_dqn,1,0.0595,0.4167,18563,cpu,0,29,-11.08,0.94775,0.019223
13,double_dqn,1,0.0651,0.4615,18563,cpu,1,17,0.35,0.94452,0.405173
14,double_dqn,1,0.0713,0.4286,18563,cpu,0,19,-10.18,0.94091,0.308307
15,double_dqn,1,0.0737,0.4,18563,cpu,0,7,-10.46,0.93958,0.075659
16,double_dqn,1,0.0816,0.375,18563,cpu,0,24,-10.13,0.93502,0.012987
17,double_dqn,1,0.0924,0.3529,18563,cpu,0,33,-10.52,0.92875,0.015287
18,double_dqn,1,0.1093,0.3333,18563,cpu,0,52,-10.21,0.91887,0.053624
19,double_dqn,1,0.1136,0.3158,18563,cpu,0,13,-10.92,0.9164,0.014881
20,double_dqn,1,0.1192,0.3,18563,cpu,0,17,-10.76,0.91317,0.013479
21,double_dqn,1,0.1287,0.2857,18563,cpu,0,29,-9.88,0.90766,0.02479
22,double_dqn,1,0.1316,0.2727,18563,cpu,0,9,-10.48,0.90595,0.013852
23,double_dqn,1,0.1346,0.2609,18563,cpu,0,9,-10.08,0.90424,0.118898
24,double_dqn,1,0.1373,0.25,18563,cpu,0,8,-10.57,0.90272,0.05997
25,double_dqn,1,0.1432,0.28,18563,cpu,1,18,-0.36,0.8993,0.042263
26,double_dqn,1,0.1537,0.2692,18563,cpu,0,32,-10.01,0.89322,0.039691
27,double_dqn,1,0.156,0.2963,18563,cpu,1,7,0.45,0.89189,0.349532
28,double_dqn,1,0.1698,0.3214,18563,cpu,1,42,-0.2,0.88391,0.067886
29,double_dqn,1,0.1718,0.3103,18563,cpu,0,6,-10.35,0.88277,0.021443
30,double_dqn,1,0.1738,0.3,18563,cpu,0,6,-9.75,0.88163,0.270812
31,double_dqn,1,0.1791,0.2903,18563,cpu,0,16,-10.65,0.87859,0.342935
