episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,dqn,1,0.0003,1.0,18563,cpu,1,21,0.11,0.99601,0.0
2,dqn,1,0.0006,1.0,18563,cpu,1,34,0.08,0.98955,0.0
3,dqn,1,0.0007,0.6667,18563,cpu,0,14,-10.63,0.98689,0.0
4,dqn,1,0.0009,0.5,18563,cpu,0,12,-10.81,0.98461,0.0
5,dqn,1,0.001,0.4,18563,cpu,0,17,-10.76,0.98138,0.0
6,dqn,1,0.0058,0.3333,18563,cpu,0,9,-10.88,0.97967,0.886753
7,dqn,1,0.0201,0.2857,18563,cpu,0,39,-10.38,0.97226,0.006933
8,dqn,1,0.0256,0.25,18563,cpu,0,15,-9.94,0.96941,1.094138
9,dqn,1,0.0388,0.2222,18563,cpu,0,36,-10.45,0.96257,0.268789
10,dqn,1,0.0444,0.4,18563,cpu,2,16,10.57,0.95953,0.489778
11,dqn,1,0.0562,0.4545,18563,cpu,1,33,-0.81,0.95326,0.514992
12,dqn,1,0.0663,0.4167,18563,cpu,0,29,-11.08,0.94775,0.02008
13,dqn,1,0.0723,0.4615,18563,cpu,1,17,0.35,0.94452,0.393548
14,dqn,1,0.0791,0.4286,18563,cpu,0,19,-10.18,0.94091,0.310037
15,dqn,1,0.0816,0.4,18563,cpu,0,7,-10.46,0.93958,0.068993
16,dqn,1,0.0901,0.375,18563,cpu,0,24,-10.13,0.93502,0.010073
17,dqn,1,0.1012,0.4118,18563,cpu,1,31,0.01,0.92913,0.315285
18,dqn,1,0.1032,0.3889,18563,cpu,0,6,-10.55,0.92799,0.060311
19,dqn,1,0.1055,0.3684,18563,cpu,0,6,-10.55,0.92685,0.023802
20,dqn,1,0.1172,0.4,18563,cpu,1,34,0.08,0.92039,0.563231
21,dqn,1,0.1296,0.381,18563,cpu,0,36,-11.05,0.91355,0.250086
22,dqn,1,0.1429,0.4091,18563,cpu,1,38,0.64,0.90633,0.039469
23,dqn,1,0.1467,0.3913,18563,cpu,0,10,-10.19,0.90443,0.023902
24,dqn,1,0.1495,0.375,18563,cpu,0,8,-10.57,0.90291,0.023967
25,dqn,1,0.1563,0.4,18563,cpu,1,19,-0.27,0.8993,0.039324
26,dqn,1,0.1696,0.3846,18563,cpu,0,39,-10.58,0.89189,0.047722
27,dqn,1,0.1809,0.3704,18563,cpu,0,32,-10.41,0.88581,0.268153
28,dqn,1,0.1852,0.3929,18563,cpu,1,12,-0.1,0.88353,0.020208
29,dqn,1,0.187,0.3793,18563,cpu,0,5,-10.24,0.88258,0.04302
30,dqn,1,0.1894,0.3667,18563,cpu,0,7,-9.86,0.88125,0.019279
31,dqn,1,0.1939,0.3548,18563,cpu,0,13,-10.52,0.87878,0.02019
32,dqn,1,0.2099,0.3438,18563,cpu,0,47,-10.26,0.86985,0.564056
33,dqn,1,0.2161,0.3333,18563,cpu,0,18,-10.27,0.86643,0.260512
34,dqn,1,0.2235,0.3529,18563,cpu,1,21,0.31,0.86244,0.560758
35,dqn,1,0.2263,0.3429,18563,cpu,0,8,-9.77,0.86092,0.034602
36,dqn,1,0.2475,0.3611,18563,cpu,1,61,-0.49,0.84933,0.58858
37,dqn,1,0.2556,0.3514,18563,cpu,0,23,-10.62,0.84496,0.55366
38,dqn,1,0.2579,0.3421,18563,cpu,0,7,-10.26,0.84363,0.331993
39,dqn,1,0.2682,0.3846,18563,cpu,2,29,10.14,0.83812,0.633152
40,dqn,1,0.2742,0.375,18563,cpu,0,17,-10.76,0.83489,0.292329
41,dqn,1,0.2836,0.3659,18563,cpu,0,27,-10.86,0.82976,0.045847
42,dqn,1,0.2932,0.381,18563,cpu,1,27,0.45,0.82463,0.047185
43,dqn,1,0.2975,0.3721,18563,cpu,0,12,-10.21,0.82235,0.087014
44,dqn,1,0.3045,0.3636,18563,cpu,0,19,-10.78,0.81874,0.574049
45,dqn,1,0.3106,0.3778,18563,cpu,1,16,0.26,0.8157,0.052046
46,dqn,1,0.3133,0.413,18563,cpu,2,7,10.16,0.81437,0.071029
47,dqn,1,0.3199,0.4043,18563,cpu,0,19,-10.18,0.81076,0.277861
48,dqn,1,0.3256,0.4167,18563,cpu,1,16,-0.14,0.80772,0.030687
49,dqn,1,0.3341,0.4286,18563,cpu,1,24,0.38,0.80316,0.043434
50,dqn,1,0.3369,0.42,18563,cpu,0,8,-10.57,0.80164,0.032895
51,dqn,1,0.34,0.42,18563,cpu,1,9,0.43,0.79993,0.264089
52,dqn,1,0.3545,0.4,18563,cpu,0,39,-9.58,0.79252,0.064904
53,dqn,1,0.357,0.4,18563,cpu,0,7,-10.46,0.79119,0.517578
54,dqn,1,0.3651,0.42,18563,cpu,1,23,-0.11,0.78682,0.022918
55,dqn,1,0.3761,0.42,18563,cpu,0,28,-9.97,0.7815,0.035708
56,dqn,1,0.3805,0.42,18563,cpu,0,11,-10.1,0.77941,0.02949
57,dqn,1,0.389,0.46,18563,cpu,2,22,9.91,0.77523,0.07089
58,dqn,1,0.3989,0.46,18563,cpu,0,26,-10.15,0.77029,0.275598
59,dqn,1,0.4124,0.5,18563,cpu,2,36,10.97,0.76345,0.016097
60,dqn,1,0.4259,0.52,18563,cpu,3,37,20.77,0.75642,0.530606
61,dqn,1,0.435,0.5,18563,cpu,0,25,-10.64,0.75167,0.036066
62,dqn,1,0.4419,0.5,18563,cpu,0,20,-9.89,0.74787,0.32666
63,dqn,1,0.4596,0.52,18563,cpu,2,50,10.03,0.73837,0.04814
64,dqn,1,0.4649,0.52,18563,cpu,0,15,-10.34,0.73552,0.333283
65,dqn,1,0.4772,0.54,18563,cpu,1,32,0.3,0.72944,0.268322
66,dqn,1,0.507,0.58,18563,cpu,2,78,10.55,0.71462,0.760927
67,dqn,1,0.5116,0.56,18563,cpu,0,13,-10.52,0.71215,0.134668
68,dqn,1,0.5178,0.56,18563,cpu,0,17,-9.56,0.70892,0.047457
69,dqn,1,0.521,0.58,18563,cpu,1,9,0.23,0.70721,0.117943
70,dqn,1,0.5239,0.56,18563,cpu,0,8,-9.37,0.70569,0.38707
71,dqn,1,0.5264,0.56,18563,cpu,0,7,-10.06,0.70436,0.306337
72,dqn,1,0.5374,0.56,18563,cpu,1,31,0.01,0.69847,0.052062
73,dqn,1,0.546,0.58,18563,cpu,1,24,0.58,0.69391,0.283216
74,dqn,1,0.5564,0.6,18563,cpu,1,29,0.03,0.6884,0.096676
75,dqn,1,0.5646,0.6,18563,cpu,1,23,0.69,0.68403,0.080162
76,dqn,1,0.5717,0.6,18563,cpu,0,20,-10.09,0.68023,0.073339
77,dqn,1,0.5746,0.6,18563,cpu,0,8,-9.77,0.67871,0.077323
78,dqn,1,0.5821,0.58,18563,cpu,0,21,-9.8,0.67472,0.75793
79,dqn,1,0.5882,0.6,18563,cpu,1,17,-0.25,0.67149,0.098553
80,dqn,1,0.6016,0.62,18563,cpu,1,37,1.35,0.66446,0.320486
81,dqn,1,0.6055,0.66,18563,cpu,2,11,10.52,0.66237,0.395111
82,dqn,1,0.6202,0.68,18563,cpu,1,42,0.0,0.65439,0.274404
83,dqn,1,0.6232,0.68,18563,cpu,0,8,-10.17,0.65287,0.114123
84,dqn,1,0.6353,0.66,18563,cpu,0,34,-10.23,0.64641,0.24733
85,dqn,1,0.6512,0.7,18563,cpu,2,45,9.98,0.63786,0.087972
86,dqn,1,0.663,0.7,18563,cpu,1,33,0.19,0.63159,0.038543
87,dqn,1,0.6665,0.7,18563,cpu,0,10,-10.19,0.62969,0.738059
88,dqn,1,0.6842,0.74,18563,cpu,2,49,10.34,0.62038,0.323995
89,dqn,1,0.6963,0.72,18563,cpu,1,34,0.48,0.61392,0.04473
90,dqn,1,0.7082,0.76,18563,cpu,2,34,9.99,0.60746,0.515747
91,dqn,1,0.7144,0.78,18563,cpu,1,17,-0.45,0.60423,0.394739
92,dqn,1,0.7286,0.82,18563,cpu,3,40,20.64,0.59663,0.112203
93,dqn,1,0.7329,0.84,18563,cpu,1,12,0.5,0.59435,0.232268
94,dqn,1,0.7383,0.84,18563,cpu,0,15,-10.54,0.5915,0.240052
95,dqn,1,0.7717,0.88,18563,cpu,3,93,20.61,0.57383,0.117931
96,dqn,1,0.7754,0.84,18563,cpu,0,10,-10.19,0.57193,0.148794
97,dqn,1,0.7811,0.86,18563,cpu,1,16,-0.14,0.56889,0.154609
98,dqn,1,0.799,0.88,18563,cpu,2,50,10.83,0.55939,0.11526
99,dqn,1,0.8012,0.86,18563,cpu,0,6,-9.55,0.55825,0.354128
100,dqn,1,0.81,0.9,18563,cpu,2,25,11.38,0.5535,0.496776
101,dqn,1,0.8151,0.9,18563,cpu,1,14,0.48,0.55084,0.23939
102,dqn,1,0.819,0.9,18563,cpu,0,11,-10.5,0.54875,0.873413
103,dqn,1,0.8377,0.94,18563,cpu,2,52,10.61,0.53887,0.133645
104,dqn,1,0.8504,1.0,18563,cpu,4,35,31.1,0.53222,0.145597
105,dqn,1,0.8588,1.0,18563,cpu,0,24,-10.73,0.52766,0.501852
106,dqn,1,0.8628,1.0,18563,cpu,0,11,-10.1,0.52557,0.703454
107,dqn,1,0.8683,0.96,18563,cpu,0,15,-10.54,0.52272,0.19575
108,dqn,1,0.9038,0.96,18563,cpu,0,100,-3.0,0.50372,0.415968
109,dqn,1,0.9208,1.0,18563,cpu,4,46,31.29,0.49498,0.542155
110,dqn,1,0.9284,0.98,18563,cpu,2,21,10.42,0.49099,0.31183
111,dqn,1,0.9331,1.0,18563,cpu,1,13,0.19,0.48852,0.763279
112,dqn,1,0.9399,1.02,18563,cpu,1,19,0.53,0.48491,0.216687
113,dqn,1,0.9494,1.02,18563,cpu,2,26,11.27,0.47997,0.274137
114,dqn,1,0.9525,1.04,18563,cpu,1,8,0.54,0.47845,0.586768
115,dqn,1,0.9584,1.04,18563,cpu,1,16,0.26,0.47541,0.288944
116,dqn,1,0.9684,1.04,18563,cpu,2,28,10.25,0.47009,0.744657
117,dqn,1,0.979,1.12,18563,cpu,4,30,31.45,0.46439,0.895196
118,dqn,1,0.9853,1.16,18563,cpu,2,17,10.86,0.46116,0.163409
119,dqn,1,0.9948,1.16,18563,cpu,1,24,0.18,0.4566,0.57858
120,dqn,1,1.0078,1.18,18563,cpu,1,35,0.97,0.44995,0.078315
121,dqn,1,1.0108,1.18,18563,cpu,0,8,-9.57,0.44843,0.368913
122,dqn,1,1.015,1.16,18563,cpu,0,11,-9.5,0.44634,0.308287
123,dqn,1,1.0299,1.16,18563,cpu,1,40,0.22,0.43874,0.122548
124,dqn,1,1.0386,1.14,18563,cpu,0,23,-9.62,0.43437,0.572069
125,dqn,1,1.0419,1.14,18563,cpu,1,9,0.43,0.43266,0.291653
126,dqn,1,1.0542,1.16,18563,cpu,1,33,0.79,0.42639,0.202811
127,dqn,1,1.0575,1.2,18563,cpu,2,9,10.54,0.42468,0.470381
128,dqn,1,1.064,1.2,18563,cpu,0,18,-9.87,0.42126,0.391627
129,dqn,1,1.0685,1.22,18563,cpu,2,12,10.81,0.41898,0.795152
130,dqn,1,1.0724,1.2,18563,cpu,0,11,-9.9,0.41689,0.073665
131,dqn,1,1.081,1.18,18563,cpu,1,24,0.78,0.41233,0.18041
132,dqn,1,1.0981,1.22,18563,cpu,3,47,20.47,0.4034,0.268555
133,dqn,1,1.1124,1.24,18563,cpu,1,40,0.22,0.3958,0.817221
134,dqn,1,1.1233,1.26,18563,cpu,1,30,0.52,0.3901,0.564421
135,dqn,1,1.1404,1.24,18563,cpu,1,46,1.16,0.38136,0.386652
136,dqn,1,1.1512,1.28,18563,cpu,3,29,21.05,0.37585,0.168456
137,dqn,1,1.1635,1.34,18563,cpu,3,34,21.5,0.36939,0.124179
138,dqn,1,1.1678,1.3,18563,cpu,0,12,-9.61,0.36711,0.70165
139,dqn,1,1.1873,1.4,18563,cpu,6,54,52.43,0.35685,0.151484
140,dqn,1,1.1934,1.38,18563,cpu,1,17,0.35,0.35362,0.507619
141,dqn,1,1.1996,1.4,18563,cpu,2,17,11.06,0.35039,0.107584
142,dqn,1,1.2159,1.42,18563,cpu,4,45,32.4,0.34184,0.613998
143,dqn,1,1.2201,1.4,18563,cpu,0,11,-9.5,0.33975,0.284057
144,dqn,1,1.2237,1.4,18563,cpu,0,10,-9.39,0.33785,0.485099
145,dqn,1,1.2269,1.38,18563,cpu,2,9,10.54,0.33614,0.289316
146,dqn,1,1.2328,1.42,18563,cpu,2,16,10.57,0.3331,0.571838
147,dqn,1,1.24,1.44,18563,cpu,2,20,10.53,0.3293,0.57029
148,dqn,1,1.2643,1.56,18563,cpu,8,67,72.82,0.31657,0.887193
149,dqn,1,1.2741,1.6,18563,cpu,2,27,9.96,0.31144,0.77391
150,dqn,1,1.2851,1.6,18563,cpu,2,30,10.23,0.30574,0.306617
151,dqn,1,1.294,1.62,18563,cpu,2,25,10.38,0.30099,1.356588
152,dqn,1,1.3012,1.64,18563,cpu,1,20,0.22,0.29719,0.203376
153,dqn,1,1.3133,1.62,18563,cpu,1,33,1.39,0.29092,1.600215
154,dqn,1,1.3319,1.6,18563,cpu,3,51,22.23,0.28123,0.491756
155,dqn,1,1.3398,1.62,18563,cpu,1,22,1.2,0.27705,0.274067
156,dqn,1,1.3594,1.7,18563,cpu,4,54,32.21,0.26679,0.95992
157,dqn,1,1.3842,1.82,18563,cpu,6,68,53.09,0.25387,0.06381
158,dqn,1,1.3924,1.84,18563,cpu,1,22,0.4,0.24969,0.426737
159,dqn,1,1.4168,1.84,18563,cpu,4,66,31.89,0.23715,0.763052
160,dqn,1,1.4262,1.84,18563,cpu,2,26,11.87,0.23221,0.217588
161,dqn,1,1.4378,1.86,18563,cpu,2,32,10.61,0.22613,0.65664
162,dqn,1,1.4509,1.92,18563,cpu,4,35,31.5,0.21948,0.814376
163,dqn,1,1.4534,1.88,18563,cpu,0,7,-9.86,0.21815,0.543703
164,dqn,1,1.4686,1.96,18563,cpu,5,41,41.55,0.21036,0.746729
165,dqn,1,1.4797,1.98,18563,cpu,2,30,10.83,0.20466,0.745884
166,dqn,1,1.5097,2.04,18563,cpu,5,80,43.66,0.18946,1.476324
167,dqn,1,1.5217,2.0,18563,cpu,2,32,11.41,0.18338,0.318561
168,dqn,1,1.5486,2.14,18563,cpu,9,73,83.07,0.16951,0.356585
169,dqn,1,1.5655,2.2,18563,cpu,4,45,31.8,0.16096,0.811513
170,dqn,1,1.5708,2.22,18563,cpu,2,14,10.39,0.1583,0.871665
171,dqn,1,1.5789,2.24,18563,cpu,1,22,0.8,0.15412,0.880283
172,dqn,1,1.5856,2.3,18563,cpu,3,18,21.26,0.1507,0.668582
173,dqn,1,1.6048,2.4,18563,cpu,6,52,53.25,0.14082,0.89759
174,dqn,1,1.6142,2.46,18563,cpu,3,25,21.49,0.13607,0.732929
175,dqn,1,1.6303,2.54,18563,cpu,5,44,41.62,0.12771,0.694748
176,dqn,1,1.6498,2.6,18563,cpu,4,52,33.63,0.11783,1.363207
177,dqn,1,1.6543,2.58,18563,cpu,1,12,0.5,0.11555,0.443399
178,dqn,1,1.6794,2.72,18563,cpu,7,67,64.11,0.10282,0.828397
179,dqn,1,1.6944,2.78,18563,cpu,5,40,42.66,0.09522,0.831322
180,dqn,1,1.6992,2.8,18563,cpu,1,13,0.79,0.09275,0.810385
181,dqn,1,1.7251,2.98,18563,cpu,10,69,94.02,0.07964,0.522316
182,dqn,1,1.7368,3.0,18563,cpu,4,31,31.54,0.07375,0.807178
183,dqn,1,1.7465,3.04,18563,cpu,3,26,20.98,0.06881,0.412059
184,dqn,1,1.7655,3.12,18563,cpu,5,51,43.05,0.05912,1.239113
185,dqn,1,1.8111,3.38,18563,cpu,14,122,136.63,0.05,1.404308
186,dqn,1,1.817,3.36,18563,cpu,2,16,10.37,0.05,1.253349
187,dqn,1,1.8457,3.46,18563,cpu,8,77,74.92,0.05,0.491476
188,dqn,1,1.8796,3.66,18563,cpu,10,91,96.2,0.05,0.769811
189,dqn,1,1.9201,3.76,18563,cpu,11,108,106.24,0.05,1.393502
190,dqn,1,1.9235,3.76,18563,cpu,1,9,0.63,0.05,0.801777
191,dqn,1,1.9348,3.78,18563,cpu,3,30,22.14,0.05,0.989389
192,dqn,1,1.9688,3.98,18563,cpu,14,91,136.24,0.05,0.418018
193,dqn,1,1.9847,4.06,18563,cpu,4,42,32.93,0.05,1.181886
194,dqn,1,1.9888,4.08,18563,cpu,1,11,0.61,0.05,0.452499
195,dqn,1,2.0395,4.3,18563,cpu,13,136,127.18,0.05,0.698139
196,dqn,1,2.0657,4.48,18563,cpu,11,69,104.73,0.05,0.486809
197,dqn,1,2.0709,4.48,18563,cpu,2,14,10.59,0.05,0.25724
198,dqn,1,2.1063,4.54,18563,cpu,11,94,106.18,0.05,0.6899
199,dqn,1,2.1304,4.64,18563,cpu,7,64,64.24,0.05,0.270893
200,dqn,1,2.1385,4.66,18563,cpu,3,21,21.33,0.05,1.056614
201,dqn,1,2.1508,4.72,18563,cpu,5,32,42.34,0.05,1.300955
202,dqn,1,2.1849,4.92,18563,cpu,11,91,106.11,0.05,0.898427
203,dqn,1,2.2679,5.42,18563,cpu,26,220,264.57,0.05,1.294992
204,dqn,1,2.2775,5.4,18563,cpu,2,26,11.87,0.05,0.935688
205,dqn,1,2.3215,5.66,18563,cpu,14,117,137.98,0.05,0.628215
206,dqn,1,2.3527,5.84,18563,cpu,13,83,126.01,0.05,0.804149
207,dqn,1,2.3869,5.92,18563,cpu,10,91,96.4,0.05,1.175136
208,dqn,1,2.4493,6.34,18563,cpu,22,166,219.67,0.05,1.075143
209,dqn,1,2.4833,6.46,18563,cpu,10,91,95.8,0.05,0.468387
210,dqn,1,2.5346,6.7,18563,cpu,14,137,139.38,0.05,1.064493
211,dqn,1,2.5854,6.96,18563,cpu,15,136,149.6,0.05,0.961252
212,dqn,1,2.6198,7.12,18563,cpu,12,92,115.91,0.05,1.406818
213,dqn,1,2.6576,7.34,18563,cpu,11,101,105.01,0.05,0.489707
214,dqn,1,2.7048,7.56,18563,cpu,16,126,158.41,0.05,1.073974
215,dqn,1,2.7452,7.8,18563,cpu,14,108,136.17,0.05,0.898581
216,dqn,1,2.7913,8.06,18563,cpu,18,122,178.87,0.05,2.153748
217,dqn,1,2.7969,8.06,18563,cpu,2,15,10.88,0.05,1.000488
218,dqn,1,2.8215,8.02,18563,cpu,7,65,64.53,0.05,0.407559
219,dqn,1,2.8392,8.06,18563,cpu,6,48,53.69,0.05,0.681085
220,dqn,1,2.9343,8.56,18563,cpu,27,253,273.45,0.05,0.94338
221,dqn,1,3.0303,9.08,18563,cpu,27,256,275.72,0.05,1.017748
222,dqn,1,3.0724,9.28,18563,cpu,13,112,127.22,0.05,0.620727
223,dqn,1,3.1219,9.52,18563,cpu,18,129,177.1,0.05,1.554281
224,dqn,1,3.1506,9.62,18563,cpu,8,74,73.25,0.05,0.215736
225,dqn,1,3.2168,9.9,18563,cpu,19,172,188.88,0.05,0.652527
226,dqn,1,3.2784,10.12,18563,cpu,15,158,148.58,0.05,0.973117
227,dqn,1,3.2869,10.16,18563,cpu,3,22,21.42,0.05,0.942176
228,dqn,1,3.3485,10.44,18563,cpu,21,157,209.15,0.05,0.589479
229,dqn,1,3.3692,10.54,18563,cpu,10,53,93.58,0.05,0.582625
230,dqn,1,3.3861,10.64,18563,cpu,6,44,51.93,0.05,0.91802
231,dqn,1,3.3897,10.44,18563,cpu,0,9,-9.28,0.05,1.320474
232,dqn,1,3.4555,10.88,18563,cpu,26,171,261.16,0.05,0.521884
