episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,dueling_dqn,1,0.0002,1.0,35204,cpu,1,21,0.11,0.99601,0.0
2,dueling_dqn,1,0.0006,1.0,35204,cpu,1,34,0.08,0.98955,0.0
3,dueling_dqn,1,0.0007,0.6667,35204,cpu,0,14,-10.63,0.98689,0.0
4,dueling_dqn,1,0.0008,0.5,35204,cpu,0,12,-10.81,0.98461,0.0
5,dueling_dqn,1,0.001,0.4,35204,cpu,0,17,-10.76,0.98138,0.0
6,dueling_dqn,1,0.0056,0.3333,35204,cpu,0,9,-10.88,0.97967,0.883741
7,dueling_dqn,1,0.0251,0.2857,35204,cpu,0,39,-10.38,0.97226,0.009739
8,dueling_dqn,1,0.0329,0.25,35204,cpu,0,15,-9.94,0.96941,1.054153
9,dueling_dqn,1,0.051,0.2222,35204,cpu,0,36,-10.45,0.96257,0.245859
10,dueling_dqn,1,0.059,0.4,35204,cpu,2,16,10.57,0.95953,0.425178
11,dueling_dqn,1,0.0759,0.4545,35204,cpu,1,33,-0.81,0.95326,0.320582
12,dueling_dqn,1,0.0909,0.4167,35204,cpu,0,29,-11.08,0.94775,0.030724
13,dueling_dqn,1,0.0994,0.4615,35204,cpu,1,17,0.35,0.94452,0.284562
14,dueling_dqn,1,0.1089,0.4286,35204,cpu,0,19,-10.18,0.94091,0.284034
15,dueling_dqn,1,0.1125,0.4,35204,cpu,0,7,-10.46,0.93958,0.072918
16,dueling_dqn,1,0.1244,0.375,35204,cpu,0,24,-10.13,0.93502,0.011476
17,dueling_dqn,1,0.1363,0.4706,35204,cpu,2,24,10.69,0.93046,0.258662
18,dueling_dqn,1,0.1423,0.4444,35204,cpu,0,12,-10.61,0.92818,0.869824
19,dueling_dqn,1,0.1645,0.4211,35204,cpu,0,44,-10.13,0.91982,0.278519
20,dueling_dqn,1,0.1759,0.4,35204,cpu,0,23,-10.62,0.91545,0.235787
