episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,greedy,3,0.0016,18.0,0,cpu,18,136,177.13,0.0,0.0
2,greedy,3,0.0029,17.0,0,cpu,16,112,157.15,0.0,0.0
3,greedy,3,0.0045,16.6667,0,cpu,16,147,157.7,0.0,0.0
4,greedy,3,0.006,17.0,0,cpu,18,131,179.48,0.0,0.0
5,greedy,3,0.0073,17.2,0,cpu,18,126,178.83,0.0,0.0
6,greedy,3,0.0084,16.5,0,cpu,13,104,127.9,0.0,0.0
7,greedy,3,0.011,17.5714,0,cpu,24,211,243.54,0.0,0.0
8,greedy,3,0.0122,17.25,0,cpu,15,107,146.59,0.0,0.0
9,greedy,3,0.0158,19.1111,0,cpu,34,297,346.78,0.0,0.0
10,greedy,3,0.0171,18.6,0,cpu,14,126,137.99,0.0,0.0
11,greedy,3,0.0186,18.3636,0,cpu,16,136,157.91,0.0,0.0
12,greedy,3,0.0198,17.9167,0,cpu,13,117,127.87,0.0,0.0
13,greedy,3,0.0222,18.7692,0,cpu,29,203,293.97,0.0,0.0
14,greedy,3,0.0234,18.7143,0,cpu,18,115,178.64,0.0,0.0
15,greedy,3,0.0243,18.2,0,cpu,11,87,106.35,0.0,0.0
16,greedy,3,0.0283,19.4375,0,cpu,38,311,389.08,0.0,0.0
17,greedy,3,0.0305,19.8824,0,cpu,27,185,273.13,0.0,0.0
18,greedy,3,0.0319,19.7222,0,cpu,17,137,170.51,0.0,0.0
19,greedy,3,0.0343,19.7895,0,cpu,21,217,211.75,0.0,0.0
20,greedy,3,0.0367,20.0,0,cpu,24,209,243.36,0.0,0.0
21,greedy,3,0.038,19.7619,0,cpu,15,122,146.54,0.0,0.0
22,greedy,3,0.0385,19.1818,0,cpu,7,50,63.78,0.0,0.0
23,greedy,3,0.039,18.6957,0,cpu,8,52,73.47,0.0,0.0
24,greedy,3,0.0407,18.75,0,cpu,20,157,200.84,0.0,0.0
25,greedy,3,0.0431,18.96,0,cpu,24,206,243.29,0.0,0.0
26,greedy,3,0.0463,19.3077,0,cpu,28,287,284.42,0.0,0.0
27,greedy,3,0.0478,19.2593,0,cpu,18,143,179.56,0.0,0.0
28,greedy,3,0.0499,19.3929,0,cpu,23,192,231.12,0.0,0.0
29,greedy,3,0.0514,19.3103,0,cpu,17,123,168.25,0.0,0.0
30,greedy,3,0.0535,19.4333,0,cpu,23,198,233.26,0.0,0.0
31,greedy,3,0.054,19.0,0,cpu,6,45,51.62,0.0,0.0
32,greedy,3,0.0568,19.1875,0,cpu,25,251,256.25,0.0,0.0
33,greedy,3,0.0595,19.3939,0,cpu,26,236,264.01,0.0,0.0
34,greedy,3,0.0616,19.4706,0,cpu,22,195,222.68,0.0,0.0
35,greedy,3,0.063,19.3429,0,cpu,15,130,148.66,0.0,0.0
36,greedy,3,0.0647,19.3333,0,cpu,19,151,190.59,0.0,0.0
37,greedy,3,0.0658,19.1351,0,cpu,12,113,116.6,0.0,0.0
38,greedy,3,0.0688,19.4737,0,cpu,32,246,326.97,0.0,0.0
39,greedy,3,0.0707,19.5897,0,cpu,24,172,242.03,0.0,0.0
40,greedy,3,0.0722,19.55,0,cpu,18,133,178.26,0.0,0.0
41,greedy,3,0.0738,19.5122,0,cpu,18,154,177.55,0.0,0.0
42,greedy,3,0.0788,19.9524,0,cpu,38,412,386.77,0.0,0.0
43,greedy,3,0.0813,20.093,0,cpu,26,220,260.77,0.0,0.0
44,greedy,3,0.0837,20.0682,0,cpu,19,236,191.04,0.0,0.0
45,greedy,3,0.0851,19.9556,0,cpu,15,125,145.41,0.0,0.0
46,greedy,3,0.0867,19.8913,0,cpu,17,142,168.76,0.0,0.0
47,greedy,3,0.0873,19.6383,0,cpu,8,63,73.46,0.0,0.0
48,greedy,3,0.0894,19.7708,0,cpu,26,180,261.57,0.0,0.0
49,greedy,3,0.0907,19.7551,0,cpu,19,105,187.25,0.0,0.0
50,greedy,3,0.0921,19.68,0,cpu,16,131,157.66,0.0,0.0
51,greedy,3,0.0938,19.76,0,cpu,22,147,219.16,0.0,0.0
52,greedy,3,0.0967,19.98,0,cpu,27,263,276.75,0.0,0.0
53,greedy,3,0.0985,20.12,0,cpu,23,160,231.64,0.0,0.0
54,greedy,3,0.0998,20.06,0,cpu,15,132,147.04,0.0,0.0
55,greedy,3,0.1013,20.02,0,cpu,16,130,159.17,0.0,0.0
56,greedy,3,0.1024,20.1,0,cpu,17,89,165.99,0.0,0.0
57,greedy,3,0.1035,19.94,0,cpu,16,106,157.41,0.0,0.0
58,greedy,3,0.1088,20.5,0,cpu,43,441,442.13,0.0,0.0
59,greedy,3,0.1111,20.26,0,cpu,22,196,221.77,0.0,0.0
60,greedy,3,0.1132,20.46,0,cpu,24,185,240.2,0.0,0.0
61,greedy,3,0.1157,20.7,0,cpu,28,221,285.88,0.0,0.0
62,greedy,3,0.1181,20.96,0,cpu,26,203,264.84,0.0,0.0
63,greedy,3,0.1202,20.8,0,cpu,21,196,208.06,0.0,0.0
64,greedy,3,0.1213,20.72,0,cpu,14,108,137.77,0.0,0.0
65,greedy,3,0.1233,21.02,0,cpu,26,173,261.54,0.0,0.0
66,greedy,3,0.1248,20.66,0,cpu,20,132,199.39,0.0,0.0
