episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,lightweight_snake_ddqn,3,0.0002,0.0,9412,cpu,0,19,-10.78,0.99639,0.0
2,lightweight_snake_ddqn,3,0.0007,0.0,9412,cpu,0,50,-10.99,0.98689,0.0
3,lightweight_snake_ddqn,3,0.0008,0.3333,9412,cpu,1,10,0.12,0.98499,0.0
4,lightweight_snake_ddqn,3,0.0008,0.25,9412,cpu,0,5,-10.44,0.98404,0.0
5,lightweight_snake_ddqn,3,0.0046,0.2,9412,cpu,0,23,-10.82,0.97967,0.301484
6,lightweight_snake_ddqn,3,0.0173,0.1667,9412,cpu,0,29,-10.08,0.97416,0.283552
7,lightweight_snake_ddqn,3,0.0361,0.1429,9412,cpu,0,43,-10.82,0.96599,0.258018
8,lightweight_snake_ddqn,3,0.0404,0.125,9412,cpu,0,10,-10.59,0.96409,0.248356
9,lightweight_snake_ddqn,3,0.053,0.1111,9412,cpu,0,29,-11.28,0.95858,0.584358
10,lightweight_snake_ddqn,3,0.0701,0.1,9412,cpu,0,39,-9.98,0.95117,0.142173
11,lightweight_snake_ddqn,3,0.0731,0.0909,9412,cpu,0,7,-10.46,0.94984,0.16144
12,lightweight_snake_ddqn,3,0.0811,0.0833,9412,cpu,0,18,-10.07,0.94642,0.038877
13,lightweight_snake_ddqn,3,0.0921,0.0769,9412,cpu,0,25,-10.04,0.94167,0.014018
14,lightweight_snake_ddqn,3,0.0992,0.0714,9412,cpu,0,16,-10.25,0.93863,0.035061
15,lightweight_snake_ddqn,3,0.1136,0.0667,9412,cpu,0,33,-10.52,0.93236,0.254197
16,lightweight_snake_ddqn,3,0.1166,0.0625,9412,cpu,0,7,-10.46,0.93103,0.273745
17,lightweight_snake_ddqn,3,0.1254,0.0588,9412,cpu,0,20,-9.89,0.92723,0.243314
18,lightweight_snake_ddqn,3,0.1372,0.0556,9412,cpu,0,27,-10.86,0.9221,0.038017
19,lightweight_snake_ddqn,3,0.146,0.0526,9412,cpu,0,20,-10.49,0.9183,0.219775
20,lightweight_snake_ddqn,3,0.1543,0.05,9412,cpu,0,19,-10.78,0.91469,0.317894
