episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,q_learning,3,0.0004,1.0,30,cpu,1,25,0.27,0.995,0.0
2,q_learning,3,0.0006,0.5,54,cpu,0,17,-10.76,0.99003,0.0
3,q_learning,3,0.0008,0.3333,72,cpu,0,10,-10.19,0.98507,0.0
4,q_learning,3,0.0014,0.25,105,cpu,0,44,-10.93,0.98015,0.0
5,q_learning,3,0.0019,0.2,114,cpu,0,37,-10.76,0.97525,0.0
6,q_learning,3,0.0022,0.1667,120,cpu,0,26,-10.95,0.97037,0.0
7,q_learning,3,0.0027,0.1429,129,cpu,0,33,-10.92,0.96552,0.0
8,q_learning,3,0.0032,0.25,156,cpu,1,34,-0.12,0.96069,0.0
9,q_learning,3,0.0034,0.2222,162,cpu,0,12,-11.01,0.95589,0.0
10,q_learning,3,0.0038,0.2,165,cpu,0,34,-10.43,0.95111,0.0
11,q_learning,3,0.004,0.1818,168,cpu,0,10,-10.39,0.94635,0.0
12,q_learning,3,0.0042,0.1667,171,cpu,0,16,-9.65,0.94162,0.0
13,q_learning,3,0.0043,0.1538,171,cpu,0,7,-10.46,0.93691,0.0
14,q_learning,3,0.005,0.2143,174,cpu,1,52,-0.7,0.93223,0.0
15,q_learning,3,0.0056,0.2,183,cpu,0,42,-10.31,0.92757,0.0
16,q_learning,3,0.0058,0.1875,186,cpu,0,13,-10.32,0.92293,0.0
17,q_learning,3,0.0061,0.1765,189,cpu,0,25,-10.64,0.91832,0.0
18,q_learning,3,0.0064,0.1667,192,cpu,0,23,-10.42,0.91372,0.0
19,q_learning,3,0.0067,0.2105,204,cpu,1,18,-0.36,0.90916,0.0
20,q_learning,3,0.007,0.2,204,cpu,0,18,-10.47,0.90461,0.0
21,q_learning,3,0.0072,0.1905,204,cpu,0,19,-10.78,0.90009,0.0
22,q_learning,3,0.0074,0.1818,207,cpu,0,12,-9.41,0.89559,0.0
23,q_learning,3,0.0075,0.1739,207,cpu,0,8,-9.77,0.89111,0.0
24,q_learning,3,0.0076,0.1667,207,cpu,0,7,-10.46,0.88665,0.0
25,q_learning,3,0.008,0.2,219,cpu,1,23,-0.31,0.88222,0.0
26,q_learning,3,0.0081,0.1923,219,cpu,0,8,-10.37,0.87781,0.0
27,q_learning,3,0.0083,0.1852,222,cpu,0,13,-10.52,0.87342,0.0
28,q_learning,3,0.0084,0.1786,222,cpu,0,8,-10.37,0.86905,0.0
29,q_learning,3,0.0091,0.2069,228,cpu,1,53,0.19,0.86471,0.0
30,q_learning,3,0.0094,0.2,231,cpu,0,16,-10.65,0.86038,0.0
31,q_learning,3,0.0095,0.1935,231,cpu,0,8,-10.57,0.85608,0.0
32,q_learning,3,0.0099,0.1875,240,cpu,0,34,-10.43,0.8518,0.0
33,q_learning,3,0.0101,0.1818,246,cpu,0,10,-9.59,0.84754,0.0
34,q_learning,3,0.0103,0.1765,252,cpu,0,19,-10.18,0.84331,0.0
35,q_learning,3,0.0105,0.2,258,cpu,1,7,0.25,0.83909,0.0
36,q_learning,3,0.0106,0.1944,261,cpu,0,10,-9.99,0.83489,0.0
