episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,random,1,0.0001,0.0,0,cpu,0,7,-10.26,0.0,0.0
2,random,1,0.0006,0.0,0,cpu,0,60,-10.89,0.0,0.0
3,random,1,0.0007,0.0,0,cpu,0,16,-10.85,0.0,0.0
4,random,1,0.0008,0.0,0,cpu,0,8,-10.57,0.0,0.0
5,random,1,0.0009,0.0,0,cpu,0,8,-9.97,0.0,0.0
6,random,1,0.0009,0.0,0,cpu,0,11,-10.9,0.0,0.0
7,random,1,0.0011,0.0,0,cpu,0,19,-10.58,0.0,0.0
8,random,1,0.0012,0.0,0,cpu,0,8,-9.77,0.0,0.0
9,random,1,0.0013,0.0,0,cpu,0,21,-11.0,0.0,0.0
10,random,1,0.0015,0.0,0,cpu,0,18,-10.87,0.0,0.0
11,random,1,0.0018,0.0,0,cpu,0,44,-10.73,0.0,0.0
12,random,1,0.0019,0.0,0,cpu,0,17,-10.96,0.0,0.0
13,random,1,0.0021,0.0769,0,cpu,1,19,0.53,0.0,0.0
14,random,1,0.0022,0.0714,0,cpu,0,13,-9.52,0.0,0.0
15,random,1,0.0023,0.0667,0,cpu,0,18,-10.07,0.0,0.0
16,random,1,0.0024,0.0625,0,cpu,0,10,-10.39,0.0,0.0
17,random,1,0.0025,0.0588,0,cpu,0,10,-9.59,0.0,0.0
18,random,1,0.0027,0.0556,0,cpu,0,29,-10.48,0.0,0.0
19,random,1,0.003,0.0526,0,cpu,0,37,-10.76,0.0,0.0
20,random,1,0.0032,0.05,0,cpu,0,21,-10.6,0.0,0.0
21,random,1,0.0033,0.0476,0,cpu,0,19,-10.38,0.0,0.0
22,random,1,0.0034,0.0909,0,cpu,1,8,0.14,0.0,0.0
23,random,1,0.0035,0.087,0,cpu,0,10,-9.59,0.0,0.0
24,random,1,0.0039,0.125,0,cpu,1,52,-0.3,0.0,0.0
25,random,1,0.004,0.12,0,cpu,0,9,-10.88,0.0,0.0
26,random,1,0.0042,0.1154,0,cpu,0,25,-10.64,0.0,0.0
27,random,1,0.0043,0.1481,0,cpu,1,11,0.21,0.0,0.0
28,random,1,0.0044,0.1786,0,cpu,1,20,0.22,0.0,0.0
29,random,1,0.0046,0.1724,0,cpu,0,26,-10.55,0.0,0.0
30,random,1,0.0048,0.1667,0,cpu,0,19,-10.58,0.0,0.0
31,random,1,0.005,0.1613,0,cpu,0,22,-10.71,0.0,0.0
32,random,1,0.0051,0.1562,0,cpu,0,17,-10.56,0.0,0.0
33,random,1,0.0052,0.1515,0,cpu,0,9,-10.88,0.0,0.0
34,random,1,0.0053,0.1471,0,cpu,0,13,-10.52,0.0,0.0
35,random,1,0.0055,0.1429,0,cpu,0,19,-10.58,0.0,0.0
36,random,1,0.0058,0.1389,0,cpu,0,47,-10.26,0.0,0.0
37,random,1,0.0059,0.1351,0,cpu,0,12,-10.41,0.0,0.0
38,random,1,0.0061,0.1316,0,cpu,0,27,-10.86,0.0,0.0
39,random,1,0.0062,0.1282,0,cpu,0,9,-10.08,0.0,0.0
40,random,1,0.0064,0.125,0,cpu,0,27,-11.06,0.0,0.0
